gadfly	 animal-biting fly; irritating person
grandiose	 affectedly grand; pretentious; high-flown; ridiculously exaggerated; impressive; great in size or scope; grand; Ex. grandiose ideas
granulate	 form into grains or granules; N. granule: grain or particle
graphic	 pertaining to the art of delineating; vividly described
graphite	 black form of carbon used in lead pencils
grapple	 wrestle; come to grips with; take hold of and struggle with; Ex. grapple with the burglar
grate	 make a harsh noise; have an unpleasant effect; shred by rubbing against a rough surface; Ex. grated cheese N: framework of metal bars to hold fuel in a fireplace
gratify	 please; satisfy; Ex. gratify a desire
gratis	 free; without charge; ADJ.
gratuitous	 given freely; unwarranted; uncalled for; done without good reason; Ex. gratuitous comment
gratuity	 n. money given to sb who has done one a service; tip ;
gravity	 seriousness; ADJ. grave
graze	 (of an animal) feed on growing grass; cause (an animal) to feed on grass; scrape (esp. the skin) or touch lightly in passing; brush; Ex. We can't graze the cattle till summer; N: surface wound
gregarious	 sociable; (of an animal) tending to form a group
grievance	 cause of complaint; complaint
grill	 question severely; cook on a grill; broil; N: cooking surface of parallel metal bars
grim	 causing great fear; unrelenting; determined in spite of fear; Ex. grim smile
grimace	 facial distortion to show feeling such as pain, disgust, etc; V.
grisly	 ghastly; horrifying; Ex. grisly remains of the bodies
groom	 man employed to take care of horses; V: make neat and trim; clean and brush (an animal)
groove	 long narrow channel made in a surface to guide the movement of something; Ex. groove of the record
gross	 total; fragrant; clearly wrong; (of people's behavior) coarse; corpulent; Ex. gross insolence/behavior; V: earn as a total amount; N: 12 dozens
grotesque	 fantastic; comically hideous; strange and unnatural (causing fear or amusement)
grotto	 small cavern
grouch	 bad-tempered complaint; person who keeps complaining; V: complain; grumble
grouse	 complain; fuss; grumble; grouch; N: plump chickenlike game bird
grovel	 crawl or creep on ground; remain prostrate; behave in a servile manner
growl	 low, guttural, menacing sound (as of a dog)
grudge	 deep feeling of dislike; Ex. grudge fight; V.
grudging	 unwilling; reluctant; stingy(giving reluctantly)
gruel	 thin liquid porridge
grueling	 exhausting; Ex. grueling marathon race
gruesome	 grisly; horrible
gruff	 rough-mannered; (of a voice) rough; hoarse
grumble	 complain; mutter discontentedly; grouch; N.
grunt	 utter a deep guttural sound (as a pig does); N.
guffaw	 boisterous laughter; V.
guile	 deceit; duplicity; wiliness; cunning; Ex. persuade her by guile
guileless	 without deceit
guise	 outward appearance; costume; Ex. in a new guise
gull	 trick; deceive; hoodwink; N: person who is easily tricked; dupe
gullible	 easily deceived
gush	 (of liquid) pour out in large quantities from a hole; make an excessive display of feeling (without true feeling); Ex. Blood gushed from the wound.
gust	 strong abrupt rush of wind; V. CF. bluster
gustatory	 affecting or relating to the sense of taste
gusto	 eager enjoyment; zest; enthusiasm
gusty	 windy
guy	 cable or chain attached to something that needs to be braced or steadied; CF. guide
gyroscope	 apparatus used to maintain balance, ascertain direction, etc.
